BAIRRO,VALOR,AREA,QUARTOS
GUARA,1350000.0,97.0,3.0
ASA NORTE,1850000.0,133.0,4.0
LAGO SUL,8900000.0,641.0,4.0
SOBRADINHO,730000.0,250.0,4.0
AGUAS CLARAS,930000.0,107.0,3.0
SUDOESTE,810000.0,59.0,2.0
AGUAS CLARAS,560000.0,59.0,2.0
SOBRADINHO,1550000.0,279.0,3.0
ARNIQUEIRA,750000.0,160.0,3.0
SOBRADINHO,3000000.0,730.0,6.0
PARK WAY,2190000.0,420.0,4.0
NOROESTE,3250000.0,194.0,4.0
AGUAS CLARAS,899000.0,141.0,4.0
LAGO SUL,14900000.0,900.0,5.0
VICENTE PIRES,2680000.0,480.0,4.0
LAGO NORTE,9800000.0,662.0,6.0
JARDINS MANGUEIRAL,545000.0,68.0,2.0
NOROESTE,3739000.0,270.0,4.0
SOBRADINHO,850000.0,90.0,3.0
SOBRADINHO,650000.0,200.0,3.0
LAGO NORTE,2690000.0,550.0,6.0
LAGO SUL,8900000.0,720.0,4.0
VICENTE PIRES,1590000.0,350.0,4.0
PARK SUL,1994869.0,126.0,3.0
LAGO SUL,4500000.0,600.0,5.0
AGUAS CLARAS,1190000.0,119.0,4.0
PARK WAY,2200000.0,750.0,8.0
JARDINS MANGUEIRAL,290000.0,50.0,2.0
AGUAS CLARAS,1236000.0,106.0,3.0
ARNIQUEIRA,1590000.0,400.0,3.0
ASA SUL,2030000.0,120.0,3.0
SAMAMBAIA,350000.0,45.0,2.0
PARK WAY,1190000.0,196.0,2.0
JARDIM BOTANICO,3500000.0,480.0,4.0
SUDOESTE,1960000.0,145.0,3.0
AGUAS CLARAS,790000.0,95.0,3.0
JARDIM BOTANICO,6500000.0,831.0,6.0
LAGO SUL,45000000.0,3666.0,5.0
PARK WAY,5950000.0,2500.0,3.0
NOROESTE,2074718.0,104.0,3.0
LAGO NORTE,3480000.0,380.0,4.0
NOROESTE,750000.0,52.0,2.0
SOBRADINHO,299000.0,73.0,2.0
GUARA,2250000.0,179.0,4.0
PARK WAY,1950000.0,400.0,3.0
SOBRADINHO,2750000.0,762.0,4.0
LAGO SUL,1299000.0,240.0,2.0
AGUAS CLARAS,1150000.0,127.0,3.0
JARDIM BOTANICO,2550000.0,300.0,3.0
JARDIM BOTANICO,1200000.0,300.0,4.0
ASA NORTE,1570000.0,137.0,3.0
ASA SUL,1170000.0,55.0,1.0
SUDOESTE,920000.0,81.0,2.0
